eto_ofr_display_id,eto_ofr_mcat_id,fk_glusr_usr_id,eto_ofr_approv_date_orig
148558225567,654451,272445406,29/07/26 00:00
148558219013,11363,272447020,29/07/26 00:00
148558213995,444900,272447000,29/07/26 00:00
148558479263,25131,272447156,29/07/26 00:01
148557718267,183016,272446607,29/07/26 00:01
148557875413,176676,231378886,29/07/26 00:01
148558797846,167035,272447092,29/07/26 00:02
148558797546,4805,271576026,29/07/26 00:02
148558797775,209057,271218881,29/07/26 00:02
148558694367,179270,272447380,29/07/26 00:02
148558334195,120988,272447028,29/07/26 00:02
148558797359,21037,258062528,29/07/26 00:02
148558502963,85924,38565735,29/07/26 00:02
148557863352,157258,272446658,29/07/26 00:03
148558503985,446170,272447204,29/07/26 00:03
148558822313,191056,272447405,29/07/26 00:04
148558354375,20416,185831857,29/07/26 00:04
148557853375,167035,272446696,29/07/26 00:04
148558360752,166960,272447063,29/07/26 00:04
148558680452,7070,271348680,29/07/26 00:04
148558515063,108117,272447224,29/07/26 00:04
148558525446,36393,272447247,29/07/26 00:05
148558825563,191377,272447453,29/07/26 00:05
148558890367,4767,255923065,29/07/26 00:06
148557416413,150939,272445701,29/07/26 00:06
148558829746,179724,271252091,29/07/26 00:06
148558440063,650293,271951374,29/07/26 00:06
148558405813,41711,269441225,29/07/26 00:06
148558451452,167035,272447143,29/07/26 00:06
148558870175,167035,272447486,29/07/26 00:06
148558878575,259131,264126994,29/07/26 00:07
148558931052,158222,270246561,29/07/26 00:07
148558930863,8267,272447513,29/07/26 00:07
148558018885,177058,272446761,29/07/26 00:07
148558051734,50179,268648979,29/07/26 00:07
148558933285,167035,272447450,29/07/26 00:08
148558208367,20692,269692302,29/07/26 00:09
148558680963,1879,272447376,29/07/26 00:10
148558526467,73870,272447238,29/07/26 00:10
148558676367,189860,272447365,29/07/26 00:10
148558358495,194108,236977418,29/07/26 00:10
148558542467,15697,272447246,29/07/26 00:10
148558055167,31597,111451007,29/07/26 00:10
148558783859,215266,272447392,29/07/26 00:11
148559062495,142169,51631877,29/07/26 00:11
148558994846,7226,19339514,29/07/26 00:11
148559062885,188122,265084198,29/07/26 00:11
148559062767,167035,271631489,29/07/26 00:11
148558575134,150409,272447206,29/07/26 00:11
148558640167,101760,272447262,29/07/26 00:11
148558971952,442370,268820452,29/07/26 00:12
148559067059,925,116768970,29/07/26 00:12
148558816852,204273,35187019,29/07/26 00:13
148558630246,10091,272446946,29/07/26 00:13
148558822852,89719,216914374,29/07/26 00:13
148558818752,20717,272447441,29/07/26 00:13
148558196534,147397,272446972,29/07/26 00:14
148558201734,35062,272446188,29/07/26 00:14
148558684285,153456,257569530,29/07/26 00:15
148558212134,179270,272446999,29/07/26 00:15
148559100295,158948,118985838,29/07/26 00:15
148559129167,167035,272447663,29/07/26 00:16
148558742867,2732,104393217,29/07/26 00:16
148483489213,177867,272342335,29/07/26 00:16
148557864085,192096,202765903,29/07/26 00:16
148558806459,182849,272447389,29/07/26 00:17
148558802946,650012,272447328,29/07/26 00:17
148558804546,126590,272447397,29/07/26 00:17
148558357075,167035,272447047,29/07/26 00:17
148558812963,167035,272447420,29/07/26 00:18
148558341113,191177,272447060,29/07/26 00:18
148558829546,189036,124139133,29/07/26 00:19
148558826763,26255,272445769,29/07/26 00:19
148559236575,182261,272447716,29/07/26 00:20
148559233013,156035,270534477,29/07/26 00:20
148558834775,259131,272446082,29/07/26 00:20
148559330795,365230,28256210,29/07/26 00:21
148559053267,20717,272447583,29/07/26 00:21
148559331052,176586,271998128,29/07/26 00:21
148559331213,179475,272447511,29/07/26 00:21
